Title,Takeaway,Authors,Year,Citations,Abstract,Study Type,Journal,Journal SJR Quartile,DOI,Consensus Link
"AlgoXpert Alpha Research Framework: A Rigorous IS-WFA-OOS Protocol for Mitigating Overfitting in Quantitative Strategies","The AlgoXpert Alpha Research Framework effectively mitigates overfitting in quantitative trading strategies by evaluating strategies across three chronological stages.","The Anh Pham, Bao Nguyen, Nguyệt Nguyễn Thị",2026,0,"Transitioning a strategy from backtest to live operation is where many quantitative trading systems fail, primarily due to parameter overfitting, selection bias, and fragility under regime shifts. This paper proposes the AlgoXpert Alpha Research Framework-a standardized, decision-oriented protocol that evaluates strategies across three chronological stages: (i) In-Sample (IS), which prioritizes stable parameter regions (plateaus) over single optima; (ii) Walk-Forward Analysis (WFA) with rolling windows and purge gaps to mitigate information leakage, equipped with majority-pass and catastrophic-veto decision gates; and (iii) Out-of-Sample (OOS) holdout under strict parameter lock (no further tuning). The framework integrates a defense-in-depth architecture: structural (cliff veto), execution (spread/leverage guards), and equity protection (circuit breakers, kill switch). A case study on USDJPY M5 intraday illustrates the procedure for detecting overfitting through performance degradation and drawdown integrity under chronology. A post-validation report comparing four alpha variants (v1-v4) reveals rank reversal when switching the objective from maximizing Sharpe to minimizing MaxDD, underscoring the trade-off between risk-adjusted performance and tail-risk control.","theoretical, modeling, or simulation study","SSRN Electronic Journal","","10.2139/ssrn.6303279","https://consensus.app/papers/algoxpert-alpha-research-framework-a-rigorous-iswfaoos-pham-nguyen/5c00fd4f84a4576d873379151b1c6220/"
"Open Source Cross-Sectional Asset Pricing","This paper successfully reproduces nearly all cross-sectional stock return predictors, with 98% of long-short portfolios finding t-stats above 1.96 for significant characteristics and 83% of mixed evidence characteristics showing R2 of 83%.","Andrew Y. Chen, Tom Zimmermann",2021,208,"We provide data and code that successfully reproduces nearly all crosssectional stock return predictors. Our 319 characteristics draw from previous meta-studies, but we differ by comparing our t-stats to the original papers' results. For the 161 characteristics that were clearly significant in the original papers, 98% of our long-short portfolios find t-stats above 1.96. For the 44 characteristics that had mixed evidence, our reproductions find t-stats of 2 on average. A regression of reproduced t-stats on original longshort t-stats finds a slope of 0.90 and an R2 of 83%. Mean returns aremonotonic in predictive signals at the characteristic level. The remaining 114 characteristics were insignificant in the original papers or are modifications of the originals created byHou, Xue, and Zhang (2020). These remaining characteristics are almost always significant if the original characteristic was also significant.","meta-analysis","Finance and Economics Discussion Series","","10.2139/ssrn.3604626","https://consensus.app/papers/open-source-crosssectional-asset-pricing-chen-zimmermann/320a6cd8ec5f51ab9ea782b58d16a983/"
"Look-Ahead-Bench: a Standardized Benchmark of Look-ahead Bias in Point-in-Time LLMs for Finance","The Look-Ahead-Bench reveals significant lookahead bias in standard financial LLMs, highlighting the need for standardized evaluation of temporal bias in LLMs for real-world deployment.","Mostapha Benhenda",2026,9,"We introduce Look-Ahead-Bench, a standardized benchmark measuring look-ahead bias in Point-in-Time (PiT) Large Language Models (LLMs) within realistic and practical financial workflows. Unlike most existing approaches that primarily test inner lookahead knowledge via Q\\&A, our benchmark evaluates model behavior in practical scenarios. To distinguish genuine predictive capability from memorization-based performance, we analyze performance decay across temporally distinct market regimes, incorporating several quantitative baselines to establish performance thresholds. We evaluate prominent open-source LLMs -- Llama 3.1 (8B and 70B) and DeepSeek 3.2 -- against a family of Point-in-Time LLMs (Pitinf-Small, Pitinf-Medium, and frontier-level model Pitinf-Large) from PiT-Inference. Results reveal significant lookahead bias in standard LLMs, as measured with alpha decay, unlike Pitinf models, which demonstrate improved generalization and reasoning abilities as they scale in size. This work establishes a foundation for the standardized evaluation of temporal bias in financial LLMs and provides a practical framework for identifying models suitable for real-world deployment. Code is available on GitHub: https://github.com/benstaf/lookaheadbench","","ArXiv","","10.48550/arxiv.2601.13770","https://consensus.app/papers/lookaheadbench-a-standardized-benchmark-of-lookahead-benhenda/a5e3778e487c5286976fb57947fb7e25/"
"Summoning the Oracle to Slay It: Mitigating Look-Ahead Bias in Financial Backtesting with Large Language Models","FinCAD effectively suppresses look-ahead bias in large language models, improving financial backtesting reliability without retraining.","Weixian Waylon Li, Mengyu Wang, Tiejun Ma",2026,1,"Backtesting large language models (LLMs) on historical financial data is unreliable because pre-training cuts off after the events happened. An LLM trained in 2024 already""knows""which way 2018-2020 stocks moved. We name this failure parametric look-ahead bias and propose FinCAD, an inference-time adaptation of Context-Aware Decoding that suppresses an LLM's memory of historical outcomes without retraining. FinCAD pairs an adversarial bias-discovery pipeline that learns a model-specific memory-activating prior prompt with an entity- and date-adaptive rule that scales the CAD strength to per-(entity, date) memorisation, so the penalty fires on memorised in-sample dates and decays to zero out-of-sample. Across five 7-14B LLMs and five mega-cap equities, FinCAD cuts in-sample backtest returns by up to -67.1% on memorised dates while leaving 2025 out-of-sample returns within $8K and Sharpe within 0.10 of baseline, and preserves general-purpose reasoning within 1.7 pts. On an eleven-model leaderboard, it raises the in-sample / out-of-sample Spearman correlation from +0.779 to +0.846, recovering rankings that genuinely predict out-of-sample performance.","theoretical, modeling, or simulation study","ArXiv","","10.48550/arxiv.2605.24564","https://consensus.app/papers/summoning-the-oracle-to-slay-it-mitigating-lookahead-bias-li-wang/a157c61162e25ab1918082612ca49e87/"
"Media Coverage and the Cross-Section of Stock Returns","Stocks with no media coverage earn higher returns than those with high media coverage, especially among small and high-risk stocks.","Lily H. Fang, Joel Peress",2008,1762,"By reaching a broad population of investors, mass media can alleviate informational frictions and affect security pricing even if it does not supply genuine news. We investigate this hypothesis by studying the cross-sectional relation between media coverage and expected stock returns. We find that stocks with no media coverage earn higher returns than stocks with high media coverage even after controlling for well-known risk-factors. These results are more pronounced among small stocks and stocks with high individual ownership, low analyst following, and high idiosyncratic volatility. Our findings suggest that the breadth of information dissemination affects stock returns.","cross-sectional study","Social Science Research Network","","10.2139/ssrn.971202","https://consensus.app/papers/media-coverage-and-the-crosssection-of-stock-returns-fang-peress/0b4c3c2b11fb5a34bed7c702178dd39f/"
"Insider trading and networked directors","Well-connected directors in UK listed companies trade shares less frequently but for higher profits, due to their access to non-firm-specific information and connections to multiple companies.","M. Goergen, L. Renneboog",2018,69,"We analyze the relation between insider trading and the networks of executive and non-executive directors in UK listed companies. While most existing studies focus on firm-specific private information, we find that non-firm-specific information – such as information on other companies and information on industry and market trends – plays an important role in insider trading behavior and performance. Well-connected directors trade shares less frequently and for smaller values. However, their transactions are more profitable, especially when they make consecutive opportunistic purchases in the multiple companies on whose boards they sit. Taken together, well-connected directors are likely to outperform their peers with inferior connections.","cross-sectional study","Journal of Corporate Finance","1","10.2139/ssrn.3229606","https://consensus.app/papers/insider-trading-and-networked-directors-goergen-renneboog/4c2cf74b4a7c55fc973667430a59633b/"
"Attention and Underreaction-Related Anomalies","Investor inattention partially drives many recently proposed stock market anomaly-based factors, with anomalies underlying these factors being more pronounced in firms with low media coverage.","Xin Chen, Wei He, Libin Tao, Jianfeng Yu",2022,22,"Recent studies have proposed a large set of powerful anomaly-based factors in the stock market. This study examines the role of investor inattention in the corresponding anomalies underlying these factors and other underreaction-related anomalies. Using media coverage as a proxy for investor attention, we show that the anomalies underlying many recently proposed prominent factors are much more pronounced among firms with low media coverage in portfolio-formation periods. In addition, we find many other prominent anomalies that previous literature has attributed to underreaction also tend to perform much better among firms with low media coverage. The average Fama-French five-factor alpha spread of these anomalies is about 0.97% per month among firms with low news coverage and only 0.24% per month among firms with high news coverage. Moreover, most of the alpha spread comes from the short leg of the anomalies and from the firms that are more difficult to arbitrage. Overall, our evidence indicates that investor inattention at least partially drives many of the recently proposed factors. This paper was accepted by Haoxiang Zhu, finance.","longitudinal / panel data study","Manag. Sci.","1","10.1287/mnsc.2022.4332","https://consensus.app/papers/attention-and-underreactionrelated-anomalies-chen-he/3061e9f4133756c3846fd72019f88a35/"
"The Price of Sin: The Effects of Social Norms on Markets","Social norms influence the performance of ""sin"" stocks, as they face greater litigation risk and are less followed by analysts, but they outperform the market due to social pressures.","Harrison G. Hong, Marcin T. Kacperczyk",2009,2087,"We provide evidence for the effects of social norms on markets by studying ""sin"" stocks - publicly-traded companies involved in producing alcohol, tobacco, and gaming. We hypothesize that there is a societal norm to not fund operations that promote vice and that some investors, particularly institutions subject to norms, pay a financial cost in abstaining from these stocks. Consistent with this hypothesis, sin stocks are less held by certain institutions, such as pension plans (but not by mutual funds who are natural arbitrageurs), and less followed by analysts than other stocks. Consistent with them facing greater litigation risk and/or being neglected because of social norms, they outperform the market even after accounting for well-known return predictors. Corporate financing decisions and time-variation in norms for tobacco also indicate that norms affect stock prices. Finally, we gauge the relative importance of litigation risk versus neglect for returns. Sin stock returns are not systematically related to various proxies for litigation risk, but are weakly correlated to the demand for socially responsible investing, consistent with them being neglected.","cross-sectional study","Journal of Financial Economics","1","10.2139/ssrn.766465","https://consensus.app/papers/the-price-of-sin-the-effects-of-social-norms-on-markets-hong-kacperczyk/bc6096a5db625f50a91e12661b10b6fb/"
"The other side of value: The gross profitability premium.","Profitable firms generate significantly higher returns than unprofitable firms, and controlling for profitability significantly improves the performance of value strategies.","Robert Novy-Marx",2013,1742,"","cross-sectional study","Journal of Financial Economics","1","10.1016/j.jfineco.2013.01.003","https://consensus.app/papers/the-other-side-of-value-the-gross-profitability-premium-novy-marx/c6ec08ac19d251c79c18860652431d75/"
"Can the changes in fundamentals explain the attenuation of anomalies?","Changes in underlying fundamentals, rather than increased arbitrage activities, explain the attenuation of stock market anomalies like Momentum, Investment, and Profitability.","Siu-Kai Choy, Craig M. Lewis, Y. Tan",2023,4,"","longitudinal / panel data study","Journal of Financial Economics","1","10.1016/j.jfineco.2023.04.005","https://consensus.app/papers/can-the-changes-in-fundamentals-explain-the-attenuation-of-choy-lewis/1fa6eee3dcbc53f5bcd50676cdcdcb3e/"
"Abnormal Returns from the Common Stock Investments of the U.S. Senate","U.S. Senators' stock purchases lead to abnormal returns of 85 basis points per month, while their stock sales lead to 12 basis points per month, providing an economic and reliable positive advantage over other investors.","A. Ziobrowski, Ping Cheng, James W. Boyd, Brigitte J. Ziobrowski",2004,87,"Abstract The actions of the federal government can have a profound impact on financial markets. As prominent participants in the government decision making process, U.S. Senators are likely to have knowledge of forthcoming government actions before the information becomes public. This could provide them with an informational advantage over other investors. We test for abnormal returns from the common stock investments of members of the U.S. Senate during the period 1993–1998. We document that a portfolio that mimics the purchases of U.S. Senators beats the market by 85 basis points per month, while a portfolio that mimics the sales of Senators lags the market by 12 basis points per month. The large difference in the returns of stocks bought and sold (nearly one percentage point per month) is economically large and reliably positive.","longitudinal / panel data study","Journal of Financial and Quantitative Analysis","1","10.1017/s0022109000003161","https://consensus.app/papers/abnormal-returns-from-the-common-stock-investments-of-the-ziobrowski-cheng/240baa973fc1574daad9b9ba041ab136/"
"Abnormal Returns From the Common Stock Investments of Members of the U.S. House of Representatives","U.S. House of Representatives members also earn significant positive abnormal returns on common stock investments, with a portfolio mimicking their purchases outperforming the market by 55 basis points per month.","A. Ziobrowski, James W. Boyd, Ping Cheng, Brigitte J. Ziobrowski",2011,44,"A previous study suggests that U.S. Senators trade common stock with a substantial informational advantage compared to ordinary investors and even corporate insiders. We apply precisely the same methods to test for abnormal returns from the common stock investments of Members of the U.S. House of Representatives. We measure abnormal returns for more than 16,000 common stock transactions made by approximately 300 House delegates from 1985 to 2001. Consistent with the study of Senatorial trading activity, we find stocks purchased by Representatives also earn significant positive abnormal returns (albeit considerably smaller returns). A portfolio that mimics the purchases of House Members beats the market by 55 basis points per month (approximately 6% annually).","longitudinal / panel data study","Business and Politics","1","10.2202/1469-3569.1308","https://consensus.app/papers/abnormal-returns-from-the-common-stock-investments-of-ziobrowski-boyd/ff94b3670d96501dad5f84e528137efa/"
"Do senators and house members beat the stock market? Evidence from the STOCK Act","U.S. Senators and House Members show no evidence of superior investment performance, with their stock returns consistent with random stock picking.","William Belmont, Bruce I. Sacerdote, Ranjan Sehgal, Ian Van Hoek",2022,8,"","longitudinal / panel data study","Journal of Public Economics","1","10.1016/j.jpubeco.2022.104602","https://consensus.app/papers/do-senators-and-house-members-beat-the-stock-market-belmont-sacerdote/ce4f5de3f0585978963afa4fe26e9a03/"
"Mind the Trade: Senators’ Disclosure and Stock Returns","U.S. Senators' stock trades predict abnormal returns after disclosure, but actual transactions may not, suggesting public disclosure may not effectively discipline insiders.","Pietro Lazzaretto",2024,0,"The trading behavior of U.S. Senators has faced growing public scrutiny due to potential misuse of insider information. I document a novel empirical fact: stock trades by U.S. Senators predict abnormal returns in the same direction after disclosure, exceeding 100 bps in a month, but not after the actual transaction. I reconcile this evidence by isolating a set of potentially speculative trades, which frequently originate from industries under considerable governmental oversight and public controversy. Realized returns on speculative trades outperform the market by more than 3 bps daily. Since the speculative nature becomes apparent only ex-post, there is uncertainty on the trade type at the disclosure time. Consequently, the market may overreact or mistakenly replicate also uninformed trades. In accordance, the price impact after disclosure is only temporary, and the negative autocorrelation of returns for the underlying stocks increases. Nonetheless, a trading strategy timed on disclosure yields substantial financial gains, even while being agnostic about the nature of the underlying trade (speculative or not). Overall, this study suggests a re-evaluation of the effectiveness of public disclosure as a disciplining mechanism for insiders. Indeed, politicians are still able to profit abnormally on many of their trades. At the same time, disclosure may unintentionally act as a catalyst in fostering noise trading.","","SSRN Electronic Journal","","10.2139/ssrn.4816497","https://consensus.app/papers/mind-the-trade-senators%E2%80%99-disclosure-and-stock-returns-lazzaretto/81fd50018c105d2b94251905e10cc2a5/"
"Political Connections and the Informativeness of Insider Trades","Political connections significantly influenced the informativeness of corporate insider trades during the Financial Crisis, particularly during TARP fund dispersal.","Alan D. Jagolinzer, D. Larcker, G. Ormazabal, Daniel J. Taylor",2020,102,"This paper examines the relation between political connections and informed trading by corporate insiders in the context of the Financial Crisis. The unprecedented magnitude of government intervention, the substantial impact of this intervention on firm value, and the political nature of the intervention provide a powerful setting to examine the relation between political connections and informed trading. Consistent with political connections providing corporate insiders with an information advantage, we find strong evidence of a relation between political connections and the informativeness of their trades. Consistent with this relation stemming from private information related to government intervention, we find the relation is strongest during the period in which TARP funds were dispersed, and strongest among politically connected insiders at banks that received TARP funds. Examining insider trades around the announcements of TARP infusions, we find evidence of significant trading thirty days in advance of the announcement, and that these trades predict the market reaction to the announcement. Notably, we find these relations are present only for the trades of politically connected insiders. Overall, our results suggest that politically connected insiders had an information advantage during the Crisis and traded to exploit this advantage.","longitudinal / panel data study","The Journal of Finance","1","10.2139/ssrn.2836053","https://consensus.app/papers/political-connections-and-the-informativeness-of-insider-jagolinzer-larcker/409fa07cd9a25fedbc71dab65c78100e/"
"Why and How Systematic Strategies Decay","Newly-published stock anomalies experience Sharpe decay of 5ppt every year, with overfitting and number of operations affecting the decay rate.","A. Falck, Adam Rej, D. Thesmar",2021,3,"In this paper, we propose ex-ante characteristics that predict the drop in risk-adjusted performance out-of-sample for a large set of stock anomalies published in finance and accounting academic journals. Our set of predictors is generated by hypotheses of OOS decay put forward by McLean and Pontiff (2016): arbitrage capital flowing into newly published strategies and in-sample overfitting linked to multiple hypothesis testing. The year of publication alone - compatible with both hypotheses - explains 30% of the variance of Sharpe decay across factors: Every year, the Sharpe decay of newly-published factors increases by 5ppt. The other important variables are directly related to overfitting: the number of operations required to calculate the signal and two measures of sensitivity of in-sample Sharpe to outliers together add another 15% of explanatory power. Some arbitrage-related variables are statistically significant, but their predictive power is marginal.","other","SSRN Electronic Journal","","10.2139/ssrn.3845928","https://consensus.app/papers/why-and-how-systematic-strategies-decay-falck-rej/1b9cab4f5e2e563ab43e1dedeeeea958/"
"The Kelly Capital Growth Investment Criterion: Theory and Practice","The Kelly capital growth criterion maximizes long-term wealth by maximizing expected utility with a logarithmic utility function, but is risky in the short term.","L. MacLean, E. Thorp, W. Ziemba",2011,253,"This volume provides the definitive treatment of fortune's formula or the Kelly capital growth criterion as it is often called. The strategy is to maximize long run wealth of the investor by maximizing the period by period expected utility of wealth with a logarithmic utility function. Mathematical theorems show that only the log utility function maximizes asymptotic long run wealth and minimizes the expected time to arbitrary large goals. In general, the strategy is risky in the short term but as the number of bets increase, the Kelly bettor's wealth tends to be much larger than those with essentially different strategies. So most of the time, the Kelly bettor will have much more wealth than these other bettors but the Kelly strategy can lead to considerable losses a small percent of the time. There are ways to reduce this risk at the cost of lower expected final wealth using fractional Kelly strategies that blend the Kelly suggested wager with cash. The various classic reprinted papers and the new ones written specifically for this volume cover various aspects of the theory and practice of dynamic investing. Good and bad properties are discussed, as are fixed-mix and volatility induced growth strategies. The relationships with utility theory and the use of these ideas by great investors are featured.","other","","","10.1142/7598","https://consensus.app/papers/the-kelly-capital-growth-investment-criterion-theory-and-maclean-thorp/f4c7cf206e6a5802b1f8c86b2dd62137/"
"Fractional Growth Portfolio Investment","Fractional-Kelly portfolios allocate a fraction of wealth to a growth-optimal portfolio, providing insights into realistic growth expectations for various investors.","A. Brockwell",2021,0,"We review some fundamental concepts of investment from a mathematical perspective, concentrating specifically on fractional-Kelly portfolios, which allocate a fraction of wealth to a growth-optimal portfolio while the remainder collects (or pays) interest at a risk-free rate. We elucidate a coherent continuous-parameter time-series framework for analysis of these portfolios, explaining relationships between Sharpe ratios, growth rates, and leverage. We see how Kelly’s criterion prescribes the same leverage as Markowitz mean-variance optimization. Furthermore, for fractional Kelly portfolios, we state a simple distributional relationship between portfolio Sharpe ratio, the fractional coefficient, and portfolio log-returns. These results provide critical insight into realistic expectations of growth for different classes of investors, from individuals to quantitative trading operations. We then illustrate application of the results by analyzing performance of various bond and equity mixes for an investor. We also demonstrate how the relationships can be exploited by a simple method-of-moments calculation to estimate portfolio Sharpe ratios and levels of risk deployment, given a fund’s reported returns.","theoretical, modeling, or simulation study","","","10.48550/arxiv.2109.10814","https://consensus.app/papers/fractional-growth-portfolio-investment-brockwell/ef3de3234d1051278a30c4764bc89d34/"
